strain	accession	date	date_submitted	clade_membership	region	host	country	recency	lineage	author	dinuc_context_fraction	GA_CT_fraction
MpxV/human/USA/WA-UW-089836/2022	OP310062	2022-08-01	2022-08-26	IIb	North America	Homo sapiens	USA	Older	B.1	"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L."		
Monkeypox/PT0032/2022	ON843168	2022-05-26	2022-06-24	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
MpxV/human/CAN/UN-NML-2844/2022	ON803419	2022-05-14	2022-06-21	IIb	North America	Homo sapiens	Canada	Older	B.1	"Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J."		
MPXV-CH-38134631/2022	ON595760	2022-05-19	2022-05-24	IIb	Europe	Homo sapiens	Switzerland	Older	B.1	"Laubscher,F., Chudzinski,V., Schibler,M., Kaiser,L., Renzoni,A."		
Slovenia-MPXV-24-2022	OP605566	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."	1.00	0.50
Slovenia-MPXV-11-2022	OP605554	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."		
MPX/PT0120/2022	OP245353	2022-07-13	2022-08-17	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
RNA_6f81vv	OX297403	2022-08-09	2022-08-24	IIb	Europe	Homo sapiens	Slovakia	Older	B.1			
RNA_pyesyu	OX261749	2022-07-20	2022-08-07	IIb	Europe	Homo sapiens	Slovakia	Older	B.1			
Monkeypox/PT0341/2022	OP414370	2022-05-27	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0010/2022	ON585036	2022-05-15	2022-05-24	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
MPXV/Germany/2022/ON/RKI510	OP689663	2022-10-01	2022-10-20	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
MPXV/Germany/2022/RKI195	OP215237	2022-08-01	2022-08-17	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
hMPXV/Austria/MUW1540386/2022	OP422343	2022-08-08	2022-09-13	IIb	Europe	Homo sapiens	Austria	Older	B.1	"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W."		
hMPXV/Austria/MUW1533948/2022	OP422340	2022-07-13	2022-09-13	IIb	Europe	Homo sapiens	Austria	Older	B.1	"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W."		
MPXV/Germany/2022/RKI243	OP215206	2022-08-01	2022-08-12	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A."		
MpxV/Spain/MD-HGUGM-6642566/2022	ON927243	2022-06-21	2022-07-06	IIb	Europe	Homo sapiens	Spain	Older	B.1	"Palomino-Cabrera,R., Penas-Utrilla,D., Buenestado-Serrano,S., Perez-Lago,L., Herranz Martin,M., Veintimilla,C., Catalan,P., Munoz,P., Garcia de Viedma,D."		
Monkeypox/PT0307/2022	OP414341	2022-06-07	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0241/2022	OP414285	2022-06-21	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox virus/Human/USA/CA-LACPHL-MA00218/2022	OP680496	2022-10-05	2022-10-19	IIb	North America	Homo sapiens	USA	Older	B.1	"Hemarajata,P., Green,N.M., Garrigues,J.M."		
Monkeypox virus/Human/USA/CA-LACPHL-MA00211/2022	OP680489	2022-09-30	2022-10-19	IIb	North America	Homo sapiens	USA	Older	B.1	"Hemarajata,P., Green,N.M., Garrigues,J.M."		1.00
Monkeypox virus/Human/USA/CA-LACPHL-MA00264/2022	OP748950	2022-09-07	2022-11-01	IIb	North America	Homo sapiens	USA	Older	B.1	"Hemarajata,P., Green,N.M., Garrigues,J.M."	1.00	1.00
MPXV/Human/USA/CA-CDPH-MPX000009/2022	OP580156	2022-06-30	2022-10-04	IIb	North America	Homo sapiens	USA	Older	B.1	"Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J."	1.00	1.00
Monkeypox/PT0591/2022	OP555658	2022-09-13	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1.00
Monkeypox/PT0136/2022	OP324459	2022-07-10	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
MPXV/Germany/2022/ON/RKI450	OP615327	2022-09-01	2022-10-12	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
MPXV/Germany/2022/ON/RKI316	OP494263	2022-09-01	2022-09-22	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
Monkeypox/PT0593/2022	OP555660	2022-09-14	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
MPXV/Germany/2022/RKI367	OP484688	2022-09-30	2022-09-21	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	0.50	0.50
Slovenia-MPXV-32-2022	OP605574	2022-07-25	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."		
Slovenia-MPXV-21-2022	OP605563	2022-07-25	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."		
hMPXV/Austria/MUW1533374/2022	OP133004	2022-07-11	2022-08-03	IIb	Europe	Homo sapiens	Austria	Older	B.1	"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W."		
hMPXV/Austria/MUW1531848/2022	OP133005	2022-07-05	2022-08-03	IIb	Europe	Homo sapiens	Austria	Older	B.1	"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W."		
MPXV/Germany/2022/RKI592	OP837354	2022-10-01	2022-11-16	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
MPXV/Germany/2022/RKI571	OP764629	2022-10-01	2022-11-03	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
MPXV/Germany/2022/RKI430	OP594194	2022-09-01	2022-10-06	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
MPXV/Germany/2022/RKI263	OP215282	2022-08-24	2022-08-17	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
Monkeypox/PT0426/2022	OP555513	2022-07-31	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0373/2022	OP555469	2022-07-05	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
RNA_613pzg	OX291435	2022-07-25	2022-08-23	IIb	Europe	Homo sapiens	Slovakia	Older	B.1			
RNA_4137vi	OX291424	2022-07-25	2022-08-23	IIb	Europe	Homo sapiens	Slovakia	Older	B.1			
RNA_3mjv89	OX336038	2022-08-31	2022-09-15	IIb	Europe	Homo sapiens	Slovakia	Older	B.1			
RNA_1zagge	OX291694	2022-08-01	2022-08-23	IIb	Europe	Homo sapiens	Slovakia	Older	B.1		1.00	0.75
Monkeypox/PT0575/2022	OP555646	2022-09-06	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
Monkeypox/PT0571/2022	OP555642	2022-09-05	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0565/2022	OP555636	2022-09-05	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
MPXV/Germany/2022/ON/RKI449	OP615325	2022-09-01	2022-10-12	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
RNA_3es490	OX291780	2022-07-25	2022-08-23	IIb	Europe	Homo sapiens	Slovakia	Older	B.1			
RNA_19d8oi	OX291676	2022-08-01	2022-08-23	IIb	Europe	Homo sapiens	Slovakia	Older	B.1			1.00
Monkeypox/PT0269/2022	OP414309	2022-06-15	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0149/2022	OP324466	2022-07-06	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0171/2022	OP324486	2022-07-02	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022	OP820455	2022-08-08	2022-11-14	IIb	North America	Homo sapiens	USA	Older	B.1.13	"Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N."	1.00	1.00
MPXV-USA-IL-IDPH-059	OP536720	2022-07-06	2022-09-27	IIb	North America	Homo sapiens	USA	Older	B.1.13	"Gagnon,K.T."		
MPXV/Germany/2022/RKI287	OP270476	2022-08-31	2022-08-22	IIb	Europe	Homo sapiens	Germany	Older	B.1.13	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Friesen,J., Schaade,L., Nitsche,A."	0.67	1.00
MPXV_USA_2022_NJ0005	OP687938	2022-08-01	2022-10-20	IIb	North America	Homo sapiens	USA	Older	B.1.9	"Gigante,C.M., Acheampong,E., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Morrison,S.S., Seabolt,M.H., Weigand,M.R., Knipe,K., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., McDermott,D., Li,Y."	0.67	1.00
Monkeypox/PT0321/2022	OP414353	2022-06-04	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1.9	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
Monkeypox/PT0008/2022	ON585038	2022-05-15	2022-05-24	IIb	Europe	Homo sapiens	Portugal	Older	B.1.9	"Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
MPXV/Germany/2022/RKI298	OP339855	2022-08-31	2022-08-30	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	0.83	1.00
MPXV/Germany/2022/RKI582	OP837344	2022-06-15	2022-11-16	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
MPXV/Germany/2022/RKI090	ON853670	2022-06-25	2022-06-27	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
hMPXV/Austria/MUW1536480/2022	OP133007	2022-07-22	2022-08-03	IIb	Europe	Homo sapiens	Austria	Older	B.1	"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W."	1.00	1.00
Monkeypox/PT0542/2022	OP555613	2022-08-23	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
Monkeypox/PT0512/2022	OP555584	2022-08-16	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	0.67
MPXV_UK_2022_3	ON619837	2022-05-04	2022-05-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M."	1.00	1.00
MpxV/human/CAN/UN-NML-3164/2022	OP013002	2022-05-29	2022-07-19	IIb	North America	Homo sapiens	Canada	Older	B.1	"Duggan,A., Hole,D., Yadav,C., Knox,N., Chapel,M., Tyler,A., Haidl,E., Domselaar,G.V., Antonation,K., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Leung,A., Jolly,G., Fafard,J., Charest,H., Levade,I."		
MpxV/human/CAN/UN-NML-2831/2022	OP013001	2022-05-14	2022-07-19	IIb	North America	Homo sapiens	Canada	Older	B.1	"Duggan,A., Hole,D., Yadav,C., Knox,N., Chapel,M., Tyler,A., Haidl,E., Domselaar,G.V., Antonation,K., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Leung,A., Jolly,G., Fafard,J., Charest,H., Levade,I."	1.00	1.00
MpxV/human/USA/WA-UW-090134/2022	OP743984	2022-09-01	2022-10-31	IIb	North America	Homo sapiens	USA	Older	B.1	"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L."	1.00	1.00
MpxV/human/USA/WA-UW-087291/2022	OP628472	2022-08-01	2022-10-13	IIb	North America	Homo sapiens	USA	Older	B.1	"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L."		
MpxV/human/USA/WA-UW-106624/2022	OP747062	2022-10-01	2022-10-31	IIb	North America	Homo sapiens	USA	Older	B.1	"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L."		
MpxV/human/USA/WA-UW-096136/2022	OP743976	2022-09-17	2022-10-31	IIb	North America	Homo sapiens	USA	Older	B.1	"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L."		
9000220_NCPV_1703	OP394229	2022-05-14	2022-09-09	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Burton,J., Easterbrook,L., Drinkwater,E., Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
MPX_rYdyAi_9000329	OP415267	2022-08-01	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
MPX_UbfBKN_9000238	OP415212	2022-07-30	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
MPXV/Germany/2022/RKI480	OP626118	2022-07-01	2022-10-13	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
MPXV/Germany/2022/RKI572	OP837334	2022-06-30	2022-11-16	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
MPXV/Germany/2022/RKI265	OP215284	2022-08-01	2022-08-17	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
MPXV/Germany/2022/RKI189	OP215231	2022-08-01	2022-08-17	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
MPXV/Human/USA/CA-LACPHL-MA00294/2022	OP890552	2022-10-06	2022-11-24	IIb	North America	Homo sapiens	USA	Older	B.1	"Hemarajata,P., Green,N.M., Garrigues,J.M."		
VAC_INS_MPX_0958_L	OP819952	2022-10-13	2022-11-14	IIb	South America	Homo sapiens	Colombia	Older	B.1	"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M."		
VAC_INS_MPX_1052_E	OP837471	2022-10-25	2022-11-16	IIb	South America	Homo sapiens	Colombia	Older	B.1	"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M."		
VAC_INS_MPX_0965_EL	OP819956	2022-10-12	2022-11-14	IIb	South America	Homo sapiens	Colombia	Older	B.1	"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M."		
VAC_INS_MPX_0965_HL	OP819957	2022-10-12	2022-11-14	IIb	South America	Homo sapiens	Colombia	Older	B.1	"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M."	1.00	1.00
MPX/Human/USA/CA-LACPHL-MA00235/2022	OP722494	2022-07-13	2022-10-27	IIb	North America	Homo sapiens	USA	Older	B.1	"Hemarajata,P., Green,N.M., Garrigues,J.M."	1.00	1.00
MPXV_USA_2022_VA0003	OP303797	2022-06-25	2022-08-26	IIb	North America	Homo sapiens	USA	Older	B.1	"Gigante,C.M., Griffin-Thomas,L., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Crain,J., Li,Y."		
MPXV/Human/USA/UT-UPHL-82200060/2024	OP743360	2022-07-08	2022-10-31	IIb	North America	Homo sapiens	USA	Older	B.1	"Iverson,T., Oakeson,K.F., Young,E.L., Wagner,J., Hergert,J."		
MPXV_USA_2022_VA0007	OP378710	2022-06-25	2022-09-06	IIb	North America	Homo sapiens	USA	Older	B.1	"Gigante,C.M., Griffin-Thomas,L., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Crain,J., Li,Y."		
MPXV_USA_2022_VA0008	OP378711	2022-06-25	2022-09-06	IIb	North America	Homo sapiens	USA	Older	B.1	"Gigante,C.M., Griffin-Thomas,L., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Crain,J., Li,Y."		
MPXV/Human/USA/CA-LACPHL-MA00346/2022	OP920684	2022-10-05	2022-11-30	IIb	North America	Homo sapiens	USA	One month ago	B.1	"Hemarajata,P., Green,N.M., Garrigues,J."	1.00	0.88
Monkeypox/PT0424/2022	OP555512	2022-08-01	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0435/2022	OP555520	2022-08-02	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0574/2022	OP555645	2022-09-06	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0534/2022	OP555605	2022-08-23	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
MPXV/ITM_pt_05/Belgium/30-May-2022	OP144215	2022-05-30	2022-08-04	IIb	Europe	Homo sapiens	Belgium	Older	B.1	"De Baetselier,I., Van Dijck,C., Kenyon,C., Coppens,J., Smet,H., de Block,T., Coppens,S., Vanroye,F., Bugert,J., Girl,P., Liesenborghs,L., Selhorst,P., Arien,K., den Bossche,D.V., Florence,E., Rezende,A.M., Vercauteren,K., Esbroeck,M.V., Bracke,S., Brosius,I., Soentjens,P."		
MPXV/ITM_pt_24/Belgium/16-Jun-2022	OP144213	2022-06-16	2022-08-04	IIb	Europe	Homo sapiens	Belgium	Older	B.1	"De Baetselier,I., Van Dijck,C., Kenyon,C., Coppens,J., Smet,H., de Block,T., Coppens,S., Vanroye,F., Bugert,J., Girl,P., Liesenborghs,L., Selhorst,P., Arien,K., den Bossche,D.V., Florence,E., Rezende,A.M., Vercauteren,K., Esbroeck,M.V., Bracke,S., Brosius,I., Soentjens,P."		
